1.180.24.0 - 1.180.25.255 , hp/torrent
112.45.16.0 - 112.45.16.255 , hp/torrent
112.45.20.0 - 112.45.20.255 , hp/torrent
123.184.152.0 - 123.184.152.255 , hp/torrent
123.187.27.0 - 123.187.27.255 , hp/torrent
123.187.29.0 - 123.187.29.255 , hp/torrent
218.7.138.0 - 218.7.138.255 , hp/torrent
221.11.96.0 - 221.11.96.255 , hp/torrent
211.103.112.0 - 211.103.112.255 , hp/torrent
221.203.3.0 - 221.203.3.255 , hp/torrent
221.203.6.0 - 221.203.6.255 , hp/torrent
36.102.218.0 - 36.102.218.255 , hp/torrent
42.248.192.0 - 42.248.192.255 , hp/torrent
#
112.46.3.0 - 112.46.3.255 , 百度离线
176.15.244.0 - 176.15.244.255 , 疑似离线
178.19.251.0 - 178.19.251.255 , 疑似离线
178.176.70.0 - 178.176.70.255 , 疑似离线
188.170.73.0 - 188.170.73.255 , 疑似离线
188.170.74.0 - 188.170.74.255 , 疑似离线
188.170.80.0 - 188.170.80.255 , 疑似离线
188.170.86.0 - 188.170.86.255 , 疑似离线
193.219.117.0 - 193.219.117.255 , 疑似离线
213.87.102.0 - 213.87.102.255 , 疑似离线
5.18.224.0 - 5.18.224.255 , 疑似离线
77.239.215.0 - 77.239.215.255 , 疑似离线
85.173.126.0 - 85.173.126.255 , 疑似离线
85.93.49.0 - 85.93.49.255 , 疑似离线
88.135.61.0 - 88.135.61.255 , 疑似离线
89.113.102.0 - 89.113.102.255 , 疑似离线
91.195.204.0 - 91.195.204.255 , 疑似离线
92.124.163.0 - 92.124.163.255 , 疑似离线
#
113.248.2.0 - 113.248.2.255 , 迅雷连坐
49.69.53.0 - 49.69.53.255 , 迅雷连坐
49.86.100.0 - 49.86.100.255 , 迅雷连坐
#
2002:: - 2002:ffff:ffff:ffff:ffff:ffff:ffff:ffff , 6to4
2001:470:: - 2001:470:ffff:ffff:ffff:ffff:ffff:ffff , he.net tunnel
::ffff:0.0.0.0 - ::ffff:255.255.255.255 , IPv4-mapped
::ffff:0:0.0.0.0 - ::ffff:0:255.255.255.255 , IPv4 translated
64:ff9b::0.0.0.0 - 64:ff9b::255.255.255.255 , IPv4/IPv6 translation
64:ff9b:1:: - 64:ff9b:1:ffff:ffff:ffff:ffff:ffff , IPv4/IPv6 translation
#########################################
#-----IPINFO数据库提取出来的跟IDC相关-----#
#########################################
154.33.63.139 - 154.33.63.139 , AS4694 , IDC Frontier Inc.
202.234.43.28 - 202.234.43.28 , AS4694 , IDC Frontier Inc.
202.230.170.50 - 202.230.170.50 , AS4694 , IDC Frontier Inc.
202.228.204.0 - 202.228.239.255 , AS4694 , IDC Frontier Inc.
211.120.37.0 - 211.120.63.255 , AS4694 , IDC Frontier Inc.
202.230.0.0 - 202.230.13.138 , AS4694 , IDC Frontier Inc.
154.33.75.120 - 154.33.75.234 , AS4694 , IDC Frontier Inc.
61.121.245.115 - 61.121.255.255 , AS4694 , IDC Frontier Inc.
202.234.46.112 - 202.234.46.142 , AS4694 , IDC Frontier Inc.
211.2.217.0 - 211.2.255.255 , AS4694 , IDC Frontier Inc.
211.133.128.0 - 211.133.143.255 , AS4694 , IDC Frontier Inc.
203.183.70.228 - 203.183.70.228 , AS4694 , IDC Frontier Inc.
211.115.207.0 - 211.115.207.255 , AS9952 , Hostway IDC
64.23.71.0 - 64.23.71.255 , AS9952 , Hostway IDC
240e:904:: - 240e:907:ffff:ffff:ffff:ffff:ffff:ffff , AS23724 , IDC, China Telecommunications Corporation
240e:981:200:: - 240e:981:2ff:ffff:ffff:ffff:ffff:ffff , AS23724 , IDC, China Telecommunications Corporation
106.3.0.0 - 106.3.47.255 , AS23724 , IDC, China Telecommunications Corporation
120.133.61.0 - 120.133.68.255 , AS23724 , IDC, China Telecommunications Corporation
124.251.231.0 - 124.251.237.255 , AS23724 , IDC, China Telecommunications Corporation
124.40.112.0 - 124.40.127.255 , AS23724 , IDC, China Telecommunications Corporation
119.61.0.0 - 119.61.127.255 , AS23724 , IDC, China Telecommunications Corporation
203.191.0.0 - 203.191.1.255 , AS23724 , IDC, China Telecommunications Corporation
211.151.228.0 - 211.151.255.255 , AS23724 , IDC, China Telecommunications Corporation
219.142.118.0 - 219.142.118.255 , AS23724 , IDC, China Telecommunications Corporation
103.28.8.0 - 103.28.8.255 , AS23724 , IDC, China Telecommunications Corporation
221.122.0.0 - 221.122.47.255 , AS23724 , IDC, China Telecommunications Corporation
124.250.0.0 - 124.250.5.255 , AS23724 , IDC, China Telecommunications Corporation
43.240.136.0 - 43.240.139.255 , AS23724 , IDC, China Telecommunications Corporation
123.103.14.0 - 123.103.14.255 , AS23724 , IDC, China Telecommunications Corporation
211.151.86.0 - 211.151.179.255 , AS23724 , IDC, China Telecommunications Corporation
202.142.16.0 - 202.142.31.255 , AS23724 , IDC, China Telecommunications Corporation
